School,Gender,Address,Family_Size,Parental_Status,School_Support,Family_Support,Extra_Paid_Class,Extra_Curricular_Activities,Attended_Nursery,Wants_Higher_Education,Internet_Access,In_Relationship,Mother_Job,Father_Job,Reason_for_Choosing_School,Guardian,Age,Study_Time,Failures,Absences,G1,G2,G3,Dropped_Out
MS,F,U,GT3,A,yes,yes,yes,no,no,no,no,no,other,teacher,reputation,mother,20,3,2,19,16,13,12,1
MS,M,R,GT3,T,yes,no,yes,no,no,yes,no,no,other,teacher,course,father,17,1,3,45,15,14,16,1
MS,F,R,GT3,T,no,no,yes,no,no,no,no,no,health,teacher,other,father,20,4,3,1,16,18,19,0
MS,F,R,GT3,T,no,no,no,yes,yes,yes,no,no,other,other,other,father,16,4,3,81,18,15,18,1
MS,F,R,LE3,A,yes,yes,yes,yes,no,yes,no,yes,at_home,other,course,father,19,1,1,49,19,22,20,0
GP,M,R,GT3,A,no,no,no,no,yes,no,no,yes,teacher,health,reputation,father,16,3,1,59,7,6,4,1
GP,M,U,LE3,A,yes,yes,yes,no,yes,no,yes,no,health,teacher,reputation,mother,18,2,2,85,9,12,10,1
MS,M,R,LE3,A,yes,yes,yes,yes,no,yes,no,no,services,services,course,other,18,2,1,40,5,4,3,1
GP,F,U,GT3,T,yes,yes,no,no,no,no,no,yes,other,teacher,course,mother,16,3,1,89,19,16,19,0
GP,M,R,GT3,T,yes,no,yes,no,yes,no,yes,yes,services,at_home,home,mother,17,3,0,75,14,15,16,0
GP,M,U,GT3,A,no,yes,no,no,yes,no,yes,yes,health,services,course,father,16,4,2,69,8,5,6,1
MS,M,U,LE3,A,no,yes,no,no,yes,no,yes,yes,services,at_home,reputation,other,19,1,1,16,18,19,19,0
MS,F,U,GT3,A,no,yes,no,no,no,no,yes,no,at_home,services,course,mother,18,2,0,77,6,9,6,1
GP,M,U,GT3,A,no,no,yes,yes,no,yes,yes,no,health,health,reputation,mother,15,3,1,9,16,17,14,0
MS,F,R,GT3,T,no,yes,yes,yes,no,yes,yes,yes,teacher,other,home,other,17,4,0,89,17,14,15,1
GP,F,R,LE3,A,yes,no,no,no,yes,no,yes,yes,teacher,health,course,mother,15,2,1,66,18,20,22,0
GP,M,R,LE3,A,no,yes,yes,yes,no,no,no,no,teacher,services,home,other,17,4,1,41,9,7,8,1
GP,F,U,GT3,T,no,no,no,no,no,no,yes,no,teacher,teacher,reputation,mother,15,4,1,78,8,5,3,1
GP,M,R,LE3,A,yes,yes,no,no,yes,no,no,yes,health,health,reputation,father,15,2,1,15,8,6,5,1
MS,F,R,GT3,T,no,no,yes,yes,yes,no,yes,no,health,services,reputation,other,20,4,3,37,8,10,11,1
MS,M,R,LE3,A,no,no,yes,no,no,yes,yes,no,health,teacher,reputation,mother,21,1,1,13,18,20,20,0
MS,M,R,GT3,T,yes,no,no,no,yes,yes,no,no,other,other,home,mother,16,4,2,35,9,11,11,1
GP,M,U,LE3,A,no,no,yes,yes,yes,yes,yes,no,health,services,course,other,17,1,3,12,13,16,18,0
MS,F,U,GT3,A,yes,no,no,yes,yes,no,no,no,health,at_home,course,other,20,3,2,58,13,15,18,0
GP,M,R,GT3,A,yes,yes,yes,yes,no,yes,no,yes,health,at_home,reputation,other,18,2,3,26,8,11,12,1
MS,F,R,LE3,A,yes,yes,no,no,yes,no,no,yes,teacher,at_home,reputation,other,15,4,3,7,15,14,11,1
GP,M,R,LE3,A,yes,no,yes,no,no,yes,no,yes,at_home,teacher,home,other,16,1,2,86,13,11,10,1
GP,F,U,LE3,T,no,no,no,no,no,no,yes,no,teacher,teacher,home,other,19,4,0,52,12,15,15,0
GP,F,U,LE3,A,no,no,yes,no,no,no,yes,yes,at_home,health,reputation,father,17,4,2,74,17,17,18,1
MS,M,U,LE3,T,yes,no,no,no,yes,no,yes,yes,at_home,teacher,reputation,father,17,1,1,4,9,8,11,0
MS,M,R,GT3,T,no,no,yes,no,yes,yes,no,no,at_home,services,course,other,18,4,1,4,12,15,16,0
MS,M,U,GT3,T,no,no,no,no,no,yes,no,no,teacher,at_home,course,mother,15,2,2,88,18,17,20,1
MS,M,U,LE3,T,no,no,yes,no,yes,yes,yes,yes,other,other,course,father,16,2,0,81,17,15,13,1
GP,M,U,GT3,A,yes,no,yes,yes,no,yes,no,no,services,at_home,reputation,father,15,2,3,47,11,9,9,1
MS,F,U,GT3,A,no,no,yes,yes,yes,no,no,no,other,services,other,mother,16,2,3,23,6,6,4,1
MS,M,U,LE3,A,yes,no,yes,yes,no,no,no,no,teacher,other,home,father,18,1,1,72,14,13,12,1
GP,M,R,GT3,A,no,yes,yes,no,no,no,yes,yes,at_home,health,home,father,15,4,0,74,19,17,16,0
GP,F,R,GT3,T,yes,yes,no,yes,yes,no,no,yes,services,teacher,home,other,19,1,3,77,17,14,16,1
GP,M,R,LE3,T,no,no,no,yes,yes,no,no,yes,other,services,reputation,father,18,4,3,41,12,13,13,1
MS,M,R,LE3,T,yes,no,no,yes,no,yes,no,yes,health,teacher,reputation,father,18,3,1,8,13,15,13,0
GP,F,U,GT3,A,no,yes,no,no,no,no,yes,no,other,health,home,father,17,4,0,63,6,7,9,1
GP,M,R,LE3,A,yes,yes,no,yes,no,yes,no,no,teacher,other,home,other,16,4,3,68,15,13,15,1
GP,M,R,GT3,A,yes,yes,no,yes,no,no,yes,no,services,services,home,mother,20,2,0,90,16,19,16,0
MS,M,R,LE3,A,yes,no,no,no,yes,no,no,yes,health,other,reputation,mother,15,4,0,10,6,6,4,1
GP,F,U,LE3,T,no,yes,yes,yes,no,yes,no,yes,services,services,other,mother,16,3,1,91,14,12,12,1
MS,M,R,LE3,A,no,yes,yes,yes,no,yes,no,no,services,health,other,mother,18,1,3,8,13,13,13,1
MS,F,U,LE3,A,no,no,no,no,yes,yes,no,no,other,health,other,father,15,2,1,76,5,4,2,1
GP,M,U,GT3,T,yes,yes,no,yes,no,yes,yes,yes,at_home,health,course,other,19,3,2,60,7,4,5,1
GP,F,U,LE3,T,yes,yes,no,no,yes,no,no,yes,other,teacher,course,other,16,3,3,82,18,17,18,1
MS,M,R,LE3,A,no,no,yes,no,yes,yes,no,yes,health,at_home,reputation,father,16,3,0,71,7,10,7,1
GP,F,U,GT3,A,no,no,yes,no,no,no,no,no,teacher,other,other,mother,19,1,0,54,10,7,9,1
GP,F,R,GT3,T,no,no,yes,no,yes,yes,no,yes,other,services,other,other,20,1,3,67,15,15,18,1
MS,F,R,GT3,A,yes,yes,no,yes,yes,yes,yes,yes,at_home,other,course,father,20,3,1,24,11,9,11,0
MS,F,R,GT3,T,yes,no,yes,yes,no,no,yes,yes,at_home,at_home,other,father,18,1,0,70,7,5,8,1
GP,F,U,LE3,T,no,yes,yes,no,yes,no,yes,yes,other,teacher,home,father,20,4,3,55,19,17,14,1
MS,F,U,GT3,A,no,no,yes,yes,yes,no,no,no,health,teacher,course,father,16,4,0,26,12,10,7,1
GP,M,R,LE3,T,no,no,no,yes,no,no,no,no,at_home,at_home,home,other,17,1,1,22,6,5,5,1
GP,M,U,GT3,A,yes,no,yes,no,yes,no,no,no,at_home,services,other,father,17,3,3,39,15,14,14,1
GP,F,U,LE3,A,no,yes,yes,no,no,yes,yes,yes,health,at_home,reputation,other,15,3,1,92,18,18,19,0
MS,F,U,GT3,A,no,yes,no,no,yes,no,no,yes,health,teacher,other,father,19,2,1,57,7,4,2,1
GP,F,R,LE3,A,no,yes,yes,yes,no,yes,yes,no,health,teacher,reputation,father,18,3,3,35,17,14,13,1
GP,F,U,LE3,T,no,yes,no,no,no,no,no,yes,health,other,home,other,17,2,1,73,14,17,15,1
GP,M,U,GT3,A,yes,yes,no,no,yes,yes,yes,no,other,services,home,father,15,2,1,31,6,3,5,1
MS,F,R,LE3,A,yes,no,yes,yes,no,no,yes,yes,other,services,other,mother,21,3,1,22,6,4,5,1
MS,M,U,LE3,T,yes,no,no,yes,yes,yes,no,yes,services,teacher,course,other,15,1,0,39,16,15,16,0
MS,M,R,LE3,A,yes,no,yes,yes,no,no,yes,no,services,at_home,home,other,20,2,1,47,15,16,17,0
MS,F,U,LE3,A,no,no,no,no,no,no,yes,no,services,teacher,reputation,father,16,2,2,23,10,11,12,1
MS,F,U,GT3,A,no,no,no,yes,yes,no,yes,yes,at_home,other,reputation,other,18,2,0,84,7,5,5,1
GP,M,U,LE3,A,yes,yes,yes,no,no,no,yes,no,health,at_home,course,other,21,1,2,38,7,10,7,1
MS,M,U,LE3,T,yes,no,no,no,no,yes,no,no,other,teacher,other,mother,21,1,1,39,13,14,11,1
MS,F,U,GT3,T,yes,yes,no,no,yes,yes,no,yes,other,services,home,other,21,2,1,28,5,2,0,1
MS,F,U,GT3,A,yes,no,no,no,yes,no,no,no,health,other,other,mother,21,1,0,44,13,10,8,1
GP,F,R,GT3,T,yes,no,no,yes,yes,no,no,no,services,teacher,home,other,20,2,1,90,16,16,19,0
MS,M,U,LE3,T,yes,no,no,yes,yes,no,yes,no,at_home,teacher,other,mother,20,2,0,33,15,13,15,0
MS,M,U,LE3,T,no,yes,yes,yes,yes,no,yes,yes,other,health,course,other,21,4,3,89,6,6,7,1
GP,F,U,GT3,T,no,no,no,yes,no,yes,yes,yes,teacher,at_home,reputation,other,17,1,0,14,6,3,4,1
MS,M,R,LE3,A,yes,no,no,no,no,no,yes,yes,at_home,health,other,mother,19,4,1,69,9,8,7,1
GP,M,R,GT3,T,yes,yes,no,yes,yes,yes,yes,yes,at_home,services,other,mother,20,4,0,88,10,8,5,1
GP,F,R,LE3,A,yes,no,no,yes,yes,yes,yes,yes,services,at_home,home,mother,16,3,0,81,12,15,18,0
GP,F,U,GT3,A,no,no,yes,no,yes,yes,no,no,health,other,other,other,17,2,0,70,5,7,10,1
GP,M,U,LE3,T,no,no,yes,no,no,no,yes,yes,teacher,at_home,other,father,15,2,1,1,16,16,17,0
GP,M,R,GT3,A,yes,no,no,no,yes,no,no,yes,services,teacher,course,father,20,2,0,97,9,9,11,1
MS,F,R,LE3,T,no,no,no,no,yes,yes,yes,no,health,teacher,other,other,19,2,2,0,16,13,11,1
GP,F,R,GT3,A,no,yes,no,yes,yes,no,yes,yes,teacher,teacher,course,other,15,4,3,53,14,14,12,1
GP,F,U,LE3,A,yes,yes,yes,yes,no,yes,yes,no,other,at_home,course,mother,20,4,3,1,18,21,24,0
MS,F,R,LE3,T,no,yes,no,no,yes,no,yes,yes,teacher,teacher,course,mother,16,4,3,35,12,9,7,1
GP,F,U,LE3,A,yes,yes,no,yes,no,no,yes,yes,services,teacher,home,mother,19,4,0,67,15,14,17,0
MS,M,U,GT3,T,no,yes,yes,yes,no,no,no,no,teacher,health,course,father,19,2,0,27,6,6,5,1
MS,M,U,LE3,A,yes,yes,no,no,no,no,no,yes,teacher,teacher,home,other,16,1,3,86,14,11,12,1
MS,M,R,LE3,A,no,no,yes,yes,yes,no,yes,no,teacher,health,reputation,other,21,1,3,19,13,10,11,1
GP,M,U,LE3,T,no,yes,no,no,yes,yes,yes,yes,other,services,course,father,15,2,1,36,19,18,20,0
GP,F,R,GT3,T,yes,yes,yes,yes,yes,yes,no,no,health,at_home,other,mother,20,1,0,58,14,14,15,0
GP,F,R,LE3,T,no,yes,no,no,no,no,no,yes,teacher,health,course,mother,19,3,1,43,8,10,12,1
MS,F,R,GT3,A,yes,yes,no,no,yes,yes,yes,no,at_home,at_home,reputation,mother,18,3,0,11,15,18,17,0
GP,M,R,LE3,T,yes,yes,yes,yes,yes,no,no,yes,services,at_home,course,mother,18,1,3,31,11,13,14,1
GP,M,U,GT3,T,no,yes,yes,no,no,no,no,yes,at_home,other,home,father,20,1,2,37,5,4,6,1
GP,M,U,GT3,T,no,yes,yes,yes,yes,yes,no,yes,health,health,reputation,mother,15,4,1,30,17,16,13,0
MS,F,U,LE3,T,no,yes,no,no,yes,yes,no,yes,services,teacher,reputation,mother,19,2,2,17,6,5,6,1
MS,M,U,GT3,A,yes,no,no,yes,yes,yes,yes,no,health,other,home,father,21,2,0,28,5,7,10,0
GP,F,R,GT3,A,no,yes,no,no,no,no,no,no,services,health,home,mother,15,3,2,97,19,19,20,1
GP,F,R,LE3,A,no,yes,yes,no,no,no,no,no,at_home,health,other,father,18,1,3,50,12,13,11,1
GP,F,R,GT3,A,yes,no,yes,yes,no,no,no,yes,at_home,services,reputation,mother,19,1,0,28,5,7,8,1
GP,F,R,GT3,A,yes,yes,no,no,no,no,no,no,other,teacher,course,other,19,3,3,90,13,10,13,1
MS,F,U,GT3,A,yes,yes,no,no,yes,yes,yes,no,health,services,home,mother,20,3,0,94,16,13,16,0
MS,F,R,GT3,T,yes,yes,yes,yes,yes,no,no,yes,at_home,at_home,other,other,20,4,0,62,11,10,10,1
MS,M,U,LE3,A,no,no,yes,no,no,yes,yes,no,services,teacher,home,father,20,4,0,97,19,18,17,0
MS,F,R,GT3,T,no,no,yes,no,no,yes,no,yes,teacher,services,home,mother,20,1,3,80,9,10,8,1
GP,F,R,GT3,T,no,yes,no,no,yes,yes,yes,yes,teacher,services,other,mother,15,3,0,19,5,3,6,1
GP,M,R,LE3,T,yes,yes,yes,no,no,no,no,no,teacher,teacher,reputation,mother,21,1,0,30,8,11,10,0
GP,F,R,LE3,T,no,no,yes,no,yes,no,yes,no,other,health,course,other,19,3,1,30,17,14,14,0
MS,M,U,GT3,A,no,no,no,yes,no,yes,no,no,at_home,at_home,home,mother,15,3,3,57,7,10,8,1
GP,M,U,LE3,A,no,no,yes,yes,yes,no,no,no,health,other,reputation,father,21,3,0,84,11,9,11,1
MS,M,U,LE3,A,no,yes,yes,yes,no,yes,no,yes,health,other,other,mother,17,2,0,6,16,15,17,0
MS,F,U,LE3,T,yes,yes,yes,no,no,yes,yes,no,other,other,other,father,21,2,0,95,5,2,4,1
GP,F,R,LE3,A,yes,yes,yes,no,no,yes,yes,no,services,at_home,other,other,17,2,2,11,14,11,9,1
GP,M,R,LE3,A,no,no,no,no,no,no,no,yes,at_home,teacher,reputation,father,21,4,2,86,8,7,7,1
GP,F,U,LE3,A,yes,no,yes,no,yes,no,no,yes,at_home,teacher,course,other,21,4,1,60,15,13,13,1
MS,F,U,LE3,A,yes,yes,yes,yes,no,no,no,yes,services,teacher,reputation,other,18,3,2,42,9,7,4,1
GP,M,R,LE3,A,no,no,yes,no,yes,yes,no,no,services,other,reputation,other,18,2,1,48,7,7,10,1
MS,M,R,LE3,A,yes,yes,no,no,no,no,no,yes,at_home,health,other,father,16,3,0,39,9,9,7,1
GP,F,U,GT3,T,yes,no,no,no,no,no,yes,yes,at_home,services,home,father,17,2,3,69,8,9,8,1
MS,M,U,GT3,T,no,no,no,yes,yes,yes,no,no,teacher,other,home,father,21,4,0,31,9,12,13,0
MS,M,U,GT3,A,yes,yes,no,yes,yes,yes,no,no,health,at_home,other,mother,21,4,3,62,13,14,14,1
GP,M,R,GT3,T,yes,yes,no,no,yes,yes,yes,no,teacher,teacher,home,father,17,1,1,14,18,16,13,0
MS,F,U,GT3,T,yes,yes,yes,yes,yes,no,yes,yes,teacher,services,other,other,21,3,3,89,16,15,15,1
MS,F,U,LE3,A,no,no,yes,yes,yes,no,no,no,health,teacher,reputation,father,20,4,1,83,12,10,12,1
GP,F,U,LE3,T,no,yes,no,yes,no,yes,yes,yes,other,teacher,other,other,20,2,1,11,12,9,12,0
MS,M,U,GT3,A,no,yes,yes,yes,no,yes,no,yes,other,teacher,course,father,16,4,3,25,6,6,5,1
GP,F,U,GT3,T,no,yes,yes,yes,yes,no,yes,yes,other,health,course,father,15,2,0,29,7,7,8,1
MS,M,R,LE3,A,yes,no,no,no,yes,no,no,no,other,services,course,other,17,3,2,92,15,18,19,1
GP,F,U,GT3,T,yes,no,yes,no,no,yes,yes,yes,services,other,reputation,father,20,3,0,29,8,10,10,0
GP,F,R,LE3,T,no,yes,yes,no,yes,yes,no,no,teacher,health,home,mother,17,3,1,76,14,17,18,0
MS,M,U,GT3,T,no,yes,no,yes,no,no,no,yes,services,at_home,reputation,mother,21,4,0,61,16,19,21,0
MS,F,U,LE3,T,yes,yes,yes,yes,no,no,no,no,services,at_home,home,other,18,4,0,42,5,3,5,1
MS,M,U,GT3,A,yes,yes,yes,no,no,yes,no,no,health,other,reputation,other,16,3,0,21,18,15,16,0
MS,F,R,LE3,T,yes,no,yes,no,yes,no,yes,yes,other,services,reputation,other,16,4,2,16,18,16,15,0
MS,F,R,GT3,A,no,no,yes,yes,yes,yes,yes,no,at_home,other,course,mother,18,3,3,22,13,15,17,1
GP,M,R,GT3,A,no,no,no,no,yes,no,no,yes,other,health,reputation,other,21,3,2,24,19,22,22,0
MS,M,U,LE3,T,yes,no,no,yes,no,yes,no,no,teacher,services,course,other,17,3,0,69,6,9,12,1
GP,M,U,LE3,T,no,no,yes,yes,no,no,no,no,services,at_home,reputation,mother,19,1,3,36,16,14,11,1
GP,F,R,GT3,A,yes,yes,no,yes,yes,no,no,no,teacher,services,other,other,16,2,0,89,19,17,19,0
MS,F,R,GT3,T,yes,yes,yes,yes,no,no,no,yes,services,services,course,father,17,1,1,56,6,3,0,1
GP,F,U,LE3,A,no,no,yes,no,yes,yes,no,no,services,services,other,father,15,3,0,84,12,12,10,1
GP,M,R,LE3,T,yes,no,no,yes,no,yes,yes,yes,services,other,reputation,father,21,4,3,98,14,13,12,1
GP,M,U,LE3,A,yes,no,no,no,yes,no,yes,yes,at_home,teacher,reputation,father,16,4,2,69,19,21,21,0
GP,M,R,GT3,T,no,no,yes,yes,yes,yes,no,no,other,health,other,mother,18,1,2,21,19,20,21,0
MS,F,R,GT3,T,no,yes,yes,no,no,no,yes,yes,services,services,home,father,21,3,0,80,13,16,19,0
GP,F,R,LE3,A,yes,no,no,no,no,no,no,yes,health,services,home,father,16,2,2,74,5,2,1,1
MS,M,U,GT3,A,no,no,yes,yes,yes,yes,yes,yes,services,other,home,mother,18,2,3,3,6,6,6,1
MS,F,U,GT3,A,no,no,no,no,yes,yes,no,yes,other,health,reputation,mother,15,4,2,57,14,12,12,1
GP,M,R,LE3,T,yes,no,no,no,no,no,no,no,other,health,home,mother,17,2,2,43,9,8,7,1
MS,F,U,GT3,T,no,yes,no,yes,no,yes,no,no,at_home,at_home,home,father,18,1,0,73,13,14,16,0
MS,F,U,LE3,T,no,no,no,yes,no,no,no,yes,services,health,reputation,other,18,4,3,16,14,16,15,1
MS,M,U,LE3,T,yes,yes,yes,yes,yes,no,no,no,health,health,reputation,other,20,2,3,17,9,10,9,1
GP,F,U,GT3,A,yes,no,no,yes,no,no,no,yes,at_home,services,home,father,15,3,1,52,11,8,6,1
MS,F,R,GT3,A,yes,no,no,yes,yes,yes,yes,no,at_home,teacher,home,other,19,2,2,18,10,8,9,1
MS,M,U,LE3,T,yes,no,yes,no,yes,yes,yes,no,services,services,other,other,16,1,3,85,18,21,20,1
MS,M,U,LE3,T,no,no,no,yes,yes,yes,no,yes,services,other,reputation,mother,21,2,1,60,10,8,6,1
GP,F,R,LE3,T,yes,yes,no,no,yes,no,no,yes,at_home,health,reputation,father,20,2,0,56,6,5,2,1
MS,M,U,GT3,A,yes,no,no,yes,yes,yes,yes,yes,at_home,teacher,other,father,19,1,1,78,19,20,22,0
GP,F,U,LE3,A,yes,yes,no,no,yes,no,no,yes,at_home,services,course,other,16,1,1,43,17,14,12,1
GP,M,U,LE3,T,yes,yes,no,yes,yes,no,yes,no,teacher,at_home,course,father,15,1,3,18,14,12,14,1
GP,F,R,LE3,A,no,yes,yes,yes,no,yes,no,yes,at_home,other,reputation,mother,15,3,1,24,18,19,20,0
GP,F,R,LE3,T,yes,yes,yes,no,yes,yes,yes,yes,other,other,reputation,other,19,2,0,36,12,13,10,1
GP,M,U,GT3,T,no,no,yes,no,yes,no,yes,no,health,other,home,mother,15,3,3,17,10,10,9,1
GP,F,U,GT3,A,no,no,no,no,yes,no,yes,yes,health,services,course,other,17,3,3,57,18,17,16,1
MS,F,R,LE3,A,yes,yes,yes,yes,yes,yes,yes,yes,services,teacher,home,father,19,1,3,11,8,6,9,1
GP,M,R,GT3,A,yes,no,yes,yes,yes,no,no,yes,at_home,teacher,course,mother,18,4,3,31,11,11,10,1
MS,M,R,GT3,A,no,no,yes,yes,no,no,yes,yes,health,health,other,mother,18,3,0,25,13,12,11,0
MS,F,U,GT3,T,yes,yes,yes,yes,no,yes,yes,no,health,teacher,home,mother,15,2,0,25,11,11,8,1
GP,M,U,LE3,A,yes,yes,no,no,yes,no,yes,yes,other,at_home,other,other,15,1,0,46,10,8,6,1
MS,M,R,GT3,A,no,yes,yes,yes,yes,no,no,yes,other,other,other,other,16,3,2,41,6,3,6,1
MS,F,U,GT3,A,yes,yes,yes,yes,no,no,no,yes,teacher,services,course,mother,21,2,0,91,7,7,9,1
MS,F,U,LE3,A,yes,yes,no,yes,no,yes,yes,yes,teacher,other,reputation,mother,19,2,1,88,18,18,20,0
MS,M,U,LE3,T,yes,no,yes,yes,no,no,no,yes,health,other,reputation,other,20,2,3,93,11,12,15,1
GP,M,U,GT3,T,yes,yes,yes,no,no,no,no,no,services,at_home,other,father,19,3,1,50,15,17,19,0
MS,M,U,GT3,A,yes,yes,yes,no,no,yes,yes,yes,health,other,reputation,father,17,1,0,40,17,15,13,0
GP,F,U,LE3,A,yes,yes,yes,no,yes,no,yes,no,services,other,home,mother,21,1,2,77,5,5,5,1
MS,F,U,LE3,T,no,no,yes,yes,yes,yes,no,yes,health,at_home,course,father,18,4,2,64,17,19,17,1
MS,F,R,LE3,T,yes,yes,no,no,yes,yes,yes,yes,other,at_home,home,other,21,2,3,96,5,2,0,1
GP,F,R,LE3,A,no,yes,yes,no,yes,yes,yes,no,at_home,teacher,reputation,father,18,1,0,60,7,7,9,1
MS,F,R,GT3,T,no,yes,yes,no,no,no,yes,no,health,other,other,other,17,4,2,74,18,17,15,1
MS,F,R,LE3,T,no,no,yes,no,yes,yes,yes,yes,teacher,health,course,mother,16,4,1,34,15,12,10,1
MS,F,R,GT3,T,no,yes,yes,yes,no,no,no,no,services,health,other,father,17,1,2,84,18,15,17,1
GP,M,R,GT3,T,yes,yes,yes,no,no,no,yes,yes,services,health,course,father,16,1,3,21,9,9,11,1
MS,M,R,GT3,A,yes,no,no,yes,no,yes,yes,no,health,at_home,home,other,16,1,2,68,18,18,16,1
GP,F,R,LE3,T,yes,yes,yes,yes,yes,no,yes,no,services,other,reputation,other,21,3,0,39,18,19,16,0
MS,F,R,LE3,T,yes,no,no,no,yes,no,yes,yes,teacher,teacher,home,mother,20,1,1,53,16,14,15,1
GP,F,U,GT3,A,no,no,yes,yes,yes,no,yes,yes,other,other,other,mother,16,1,3,81,7,8,9,1
GP,M,U,GT3,A,yes,yes,yes,yes,yes,yes,yes,yes,at_home,health,home,other,21,3,3,36,13,12,12,1
MS,F,R,GT3,A,yes,yes,no,yes,yes,yes,yes,yes,at_home,services,reputation,other,15,1,2,43,11,9,7,1
MS,M,U,GT3,T,no,yes,no,yes,no,no,yes,no,services,health,reputation,mother,15,1,3,28,6,7,10,1
GP,M,U,GT3,A,no,yes,no,no,no,yes,yes,yes,health,at_home,home,other,16,1,2,81,14,15,14,1
GP,M,R,LE3,T,yes,no,yes,no,yes,yes,no,no,services,other,course,father,17,2,1,11,14,14,15,0
MS,M,R,LE3,A,yes,yes,yes,yes,yes,no,yes,no,teacher,at_home,reputation,mother,17,3,2,20,7,8,10,1
GP,M,R,LE3,T,yes,yes,no,yes,no,no,yes,no,health,teacher,reputation,father,17,1,3,39,19,19,18,1
MS,F,U,GT3,A,yes,yes,yes,yes,yes,yes,yes,no,other,other,reputation,other,15,3,1,29,16,13,13,0
MS,F,U,GT3,A,yes,no,yes,yes,no,no,no,no,teacher,other,reputation,mother,20,4,2,63,7,5,4,1
MS,M,R,LE3,T,yes,yes,no,yes,no,no,no,no,other,other,course,mother,21,4,3,40,13,13,11,1
MS,F,U,LE3,A,no,yes,no,no,yes,no,no,yes,health,services,course,mother,16,3,3,78,18,20,18,1
GP,M,U,GT3,A,yes,yes,yes,yes,no,no,no,yes,other,other,other,other,18,1,0,98,19,21,18,0
MS,M,U,LE3,A,yes,yes,yes,yes,yes,no,yes,no,teacher,services,other,mother,17,3,2,46,11,13,11,1
GP,F,R,LE3,A,no,no,yes,yes,yes,yes,yes,no,teacher,other,other,mother,21,2,2,91,15,17,18,1
MS,F,U,LE3,A,no,yes,no,no,yes,no,no,yes,services,health,home,mother,21,4,2,3,19,20,18,0
GP,F,U,GT3,T,no,yes,yes,yes,no,no,no,yes,health,teacher,home,mother,20,3,1,27,15,17,15,0
MS,F,U,GT3,T,no,no,yes,yes,yes,no,yes,no,at_home,other,other,other,15,1,1,93,7,7,6,1
GP,F,U,LE3,A,yes,yes,yes,yes,no,no,no,yes,at_home,at_home,reputation,mother,19,1,0,47,15,12,12,0
GP,M,U,GT3,A,no,yes,yes,no,yes,yes,no,no,other,health,other,mother,16,4,0,56,5,4,2,1
MS,F,U,LE3,T,yes,no,yes,no,yes,yes,yes,no,at_home,at_home,home,other,17,2,0,90,15,14,15,0
MS,F,U,LE3,T,no,yes,no,no,no,yes,no,no,at_home,at_home,course,mother,15,4,3,15,8,5,5,1
MS,F,R,GT3,A,no,yes,yes,yes,no,yes,no,no,teacher,services,reputation,father,19,1,3,95,9,10,8,1
MS,M,R,GT3,T,yes,no,yes,no,no,no,no,no,teacher,teacher,reputation,mother,16,2,0,11,13,11,11,0
GP,F,U,GT3,A,yes,yes,yes,yes,no,no,yes,yes,teacher,at_home,reputation,mother,18,3,3,54,8,6,7,1
MS,M,R,LE3,A,no,yes,no,no,yes,no,no,yes,at_home,health,home,father,16,4,0,35,14,14,13,0
GP,F,U,LE3,A,yes,no,yes,no,yes,no,no,no,other,teacher,reputation,other,16,3,1,14,6,9,8,1
GP,F,U,LE3,A,no,no,no,no,no,no,yes,no,health,health,reputation,mother,21,3,3,18,5,4,1,1
MS,M,U,GT3,T,yes,yes,yes,no,no,yes,no,no,services,at_home,course,father,17,1,3,17,9,6,7,1
GP,F,R,LE3,T,no,no,no,no,yes,yes,yes,yes,other,teacher,reputation,other,20,1,0,89,7,10,13,1
GP,F,U,LE3,T,yes,no,no,no,yes,yes,no,yes,teacher,other,home,other,16,2,2,74,13,14,16,1
GP,M,U,LE3,A,no,no,no,yes,yes,no,no,yes,other,at_home,reputation,father,19,3,0,93,7,4,2,1
GP,F,R,LE3,T,yes,yes,yes,no,no,yes,yes,yes,health,at_home,home,other,19,2,3,27,7,6,8,1
MS,M,R,GT3,A,yes,no,yes,yes,no,yes,no,no,teacher,services,course,other,16,2,3,55,6,3,5,1
MS,M,U,GT3,A,no,yes,no,yes,yes,no,no,no,health,health,course,father,16,4,0,22,17,14,12,0
MS,M,R,GT3,T,yes,yes,no,yes,no,yes,yes,yes,services,other,reputation,other,20,4,0,78,7,4,1,1
MS,M,R,LE3,A,yes,no,no,no,yes,yes,no,no,other,teacher,other,father,19,1,0,10,13,13,14,0
GP,M,U,LE3,A,no,yes,no,no,no,no,no,no,services,at_home,course,other,19,3,3,42,11,12,12,1
GP,F,U,LE3,A,no,no,no,yes,no,no,no,yes,at_home,at_home,reputation,father,17,2,3,84,6,4,4,1
MS,F,U,GT3,T,yes,no,yes,yes,no,yes,yes,no,other,other,course,other,18,3,3,44,7,10,12,1
MS,F,R,GT3,A,no,yes,no,no,no,yes,no,yes,at_home,at_home,course,father,19,1,1,38,18,21,24,0
MS,M,R,GT3,T,yes,no,yes,no,no,no,no,no,health,health,home,mother,18,3,0,94,12,13,12,1
GP,M,R,GT3,A,yes,yes,no,yes,yes,yes,yes,no,at_home,teacher,other,other,18,2,1,78,18,17,17,1
MS,M,U,GT3,T,no,no,yes,yes,no,no,yes,no,health,other,home,father,19,2,0,80,18,21,21,0
